label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.68,0.6296296296296297,0.6538461538461539,0.8335341145548133,0.7410184013241164,0.7845582929594888,17,8,10
salutation,0.7727272727272727,0.6538461538461539,0.7083333333333333,0.9545454545454546,0.8076923076923077,0.875,17,5,9
name,0.42424242424242425,0.4,0.411764705882353,0.8426981123773485,0.7485051002462189,0.7928136771950159,14,19,21
organisation,0.6388888888888888,0.5897435897435898,0.6133333333333332,0.972176759410802,0.8972809667673716,0.9332285938727416,23,13,16
phone_number,0.631578947368421,0.36363636363636365,0.46153846153846156,0.9441500614510507,0.5298560622335794,0.6787809435520082,12,7,21
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18
country,0.6666666666666666,0.07692307692307693,0.13793103448275862,1.0,0.11538461538461539,0.20689655172413793,2,1,24
plate,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.5333333333333333,0.8888888888888888,0.6666666666666667,7,8,2
id,0.6153846153846154,0.5714285714285714,0.5925925925925927,0.6153846153846154,0.5714285714285714,0.5925925925925927,8,5,6
relationship,1.0,0.6111111111111112,0.7586206896551725,1.0,0.6111111111111112,0.7586206896551725,11,0,7
date,0.8571428571428571,0.9,0.8780487804878048,0.9523809523809523,1.0,0.975609756097561,18,3,2
