label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
name,0.0,0.0,0.0,0.17403975209749264,1.0,0.2964801690684837,0,75,12
id,0.6428571428571429,0.5,0.5625000000000001,0.6428571428571429,0.5625,0.6000000000000001,9,5,9
organisation,0.12,0.375,0.18181818181818182,0.2564817499963327,1.0,0.4082538405306425,3,22,5
email,0.696969696969697,0.6571428571428571,0.676470588235294,0.9085042234570053,1.0,0.9520589080084602,23,10,12
relationship,0.47368421052631576,0.375,0.4186046511627907,0.868628944941252,0.6878910095588936,0.767766632403502,9,10,15
salutation,0.9117647058823529,1.0,0.9538461538461539,0.9117647058823529,1.0,0.9538461538461539,31,3,0
phone_number,0.3333333333333333,0.21428571428571427,0.2608695652173913,1.0,0.6987135150089916,0.8226384364820847,9,18,33
date,0.54,0.6136363636363636,0.574468085106383,1.0,1.0,1.0,27,23,17
country,0.325,0.23214285714285715,0.27083333333333337,1.0,0.6977329974811083,0.8219584569732938,13,27,43
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22
plate,0.5,0.391304347826087,0.4390243902439025,1.0,1.0,1.0,9,9,14
