label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.84375,0.84375,0.84375,0.90625,1.0,0.9508196721311475,27,5,5
name,0.21052631578947367,0.35294117647058826,0.2637362637362637,0.5087156236062065,0.8997410152432459,0.6499487439349892,12,45,22
organisation,0.4883720930232558,0.6,0.5384615384615383,0.7819639000484343,1.0,0.8776428074970322,21,22,14
date,0.7446808510638298,0.7777777777777778,0.7608695652173912,0.978544061302682,1.0,0.989155693261038,35,12,10
relationship,1.0,0.4222222222222222,0.59375,1.0,0.4523809523809524,0.6229508196721312,19,0,26
salutation,0.0,0.0,0.0,0.0,0.0,0.0,0,3,22
phone_number,0.16666666666666666,0.06451612903225806,0.09302325581395349,1.0,0.661123313460935,0.7959954665659237,2,10,29
plate,0.125,0.13636363636363635,0.13043478260869565,0.3694543354826292,0.48773980434506414,0.4204358777789946,3,21,19
id,0.625,0.2777777777777778,0.3846153846153846,0.625,1.0,0.7692307692307693,5,3,13
country,0.7037037037037037,0.4634146341463415,0.5588235294117647,1.0,0.7365853658536585,0.848314606741573,19,8,22
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,8,16
