label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
name,0.0,0.0,0.0,0.2985171864437662,1.0,0.4597816487301361,0,52,22
email,0.4166666666666667,0.5,0.45454545454545453,1.0,1.0,1.0,10,14,10
date,0.2,0.4444444444444444,0.2758620689655173,0.8915787058283616,1.0,0.9426821131800813,8,32,10
country,0.0,0.0,0.0,0.0,0.0,0.0,0,1,34
organisation,0.29411764705882354,0.625,0.4,0.37670435650149653,1.0,0.5472552690379854,10,24,6
salutation,0.9565217391304348,0.88,0.9166666666666666,0.9565217391304348,1.0,0.9777777777777777,22,1,3
id,0.25925925925925924,0.3888888888888889,0.3111111111111111,0.5314533622559653,1.0,0.6940509915014165,7,20,11
phone_number,0.2857142857142857,0.375,0.3243243243243243,1.0,1.0,1.0,6,15,10
relationship,0.2,0.08333333333333333,0.11764705882352941,0.5555555555555556,0.2631578947368421,0.35714285714285715,1,4,11
plate,0.3,0.375,0.33333333333333326,0.3352272727272727,0.5673076923076923,0.4214285714285714,6,14,10
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16
