text_id,precision,recall,f1,partial_precision,partial_recall,partial_f1
0,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571
1,0.75,0.42857142857142855,0.5454545454545454,1.0,0.5714285714285714,0.7272727272727273
2,0.75,0.42857142857142855,0.5454545454545454,1.0,0.5714285714285714,0.7272727272727273
3,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666
4,0.5,0.4,0.4444444444444445,0.7272727272727273,0.5818181818181818,0.6464646464646464
5,0.19047619047619047,0.8,0.3076923076923077,0.586559472273758,0.9818181818181818,0.7343827592716949
6,0.2857142857142857,0.3333333333333333,0.30769230769230765,0.8461538461538461,0.625,0.7189542483660131
7,0.4,0.3333333333333333,0.3636363636363636,0.711111111111111,0.48148148148148145,0.5741890959282263
8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
9,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.8633241758241759,0.782051282051282,0.8206805021887811
10,1.0,0.42857142857142855,0.6,1.0,0.42857142857142855,0.6
11,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091
12,1.0,0.25,0.4,1.0,0.25,0.4
13,0.5,0.2857142857142857,0.36363636363636365,0.75,0.42857142857142855,0.5454545454545454
14,0.75,0.5,0.6,0.9375,0.625,0.75
15,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.9857142857142858,0.9857142857142858,0.9857142857142858
16,0.6,0.42857142857142855,0.5,0.8,0.5714285714285714,0.6666666666666666
17,0.6,0.42857142857142855,0.5,0.8,0.5714285714285714,0.6666666666666666
18,1.0,1.0,1.0,1.0,1.0,1.0
19,0.5,0.3333333333333333,0.4,0.5,0.3333333333333333,0.4
20,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
21,1.0,1.0,1.0,1.0,1.0,1.0
22,0.6666666666666666,0.5,0.5714285714285715,1.0,0.75,0.8571428571428571
23,0.6666666666666666,0.5,0.5714285714285715,1.0,0.75,0.8571428571428571
24,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9901960784313726,0.9901960784313726,0.9901960784313726
25,0.3333333333333333,0.25,0.28571428571428575,0.6666666666666666,0.5,0.5714285714285715
26,0.6,0.42857142857142855,0.5,0.6133333333333334,0.43809523809523804,0.5111111111111112
27,0.75,0.75,0.75,0.9772727272727273,0.9772727272727273,0.9772727272727273
28,0.3333333333333333,0.25,0.28571428571428575,0.6666666666666666,0.5,0.5714285714285715
29,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9761904761904762,0.9761904761904763,0.9761904761904762
30,0.6,0.42857142857142855,0.5,0.7,0.5,0.5833333333333334
31,0.5,0.3333333333333333,0.4,0.5,0.3333333333333333,0.4
32,0.8,0.5714285714285714,0.6666666666666666,1.0,0.7142857142857143,0.8333333333333333
33,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6984126984126985,0.6984126984126985,0.6984126984126985
34,0.5,0.3333333333333333,0.4,0.75,0.5,0.6
35,0.4,0.3333333333333333,0.3636363636363636,0.7846153846153847,0.6538461538461539,0.7132867132867132
36,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
37,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0
38,0.75,0.75,0.75,0.75,0.75,0.75
39,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.4444444444444444
40,0.5,0.3333333333333333,0.4,0.5,0.3333333333333333,0.4
41,0.5,0.42857142857142855,0.4615384615384615,0.9555555555555556,0.819047619047619,0.8820512820512821
42,0.5,0.5,0.5,0.5,0.5,0.5
43,0.3333333333333333,0.2,0.25,0.6666666666666666,0.4,0.5
44,0.5,0.5,0.5,0.9444444444444443,0.9444444444444443,0.9444444444444443
45,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.8205128205128206,0.7032967032967034,0.757396449704142
46,0.6,0.42857142857142855,0.5,0.8,0.5714285714285714,0.6666666666666666
47,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091
48,0.3333333333333333,0.25,0.28571428571428575,0.6666666666666666,0.5,0.5714285714285715
49,0.3333333333333333,0.2,0.25,0.6666666666666666,0.4,0.5
