label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.2857142857142857,0.32,0.30188679245283023,0.840838069806691,0.7511698387302174,0.7934787181746923,8,20,17
plate,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.47058823529411764,0.4444444444444444,0.45714285714285713,7,10,10
name,0.02040816326530612,0.1111111111111111,0.034482758620689655,0.08682116914562435,0.5112016293279023,0.14843287995269072,1,48,8
organisation,0.043478260869565216,0.5,0.08,0.12536443148688048,1.0,0.2227979274611399,1,22,1
phone_number,0.1,0.2857142857142857,0.14814814814814817,0.2274477161585683,0.6882871536523929,0.3419097520919684,2,18,5
date,0.0625,0.5,0.1111111111111111,0.11949685534591194,1.0,0.21348314606741572,1,15,1
id,0.16,0.26666666666666666,0.2,0.3672255273120606,0.55701394585726,0.4426336375488918,4,21,11
country,1.0,0.19047619047619047,0.32,1.0,0.19047619047619047,0.32,4,0,17
salutation,1.0,0.42105263157894735,0.5925925925925926,1.0,0.42105263157894735,0.5925925925925926,8,0,11
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18
relationship,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
