label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.84375,0.84375,0.84375,0.90625,1.0,0.9508196721311475,27,5,5
name,0.125,0.20588235294117646,0.15555555555555556,0.3025335320417287,0.8493723849372384,0.4461538461538461,7,49,27
organisation,0.5384615384615384,0.6,0.5675675675675675,0.865871079238681,1.0,0.9281145829131738,21,18,14
date,0.7608695652173914,0.7777777777777778,0.7692307692307693,1.0,1.0,1.0,35,11,10
relationship,1.0,0.5555555555555556,0.7142857142857143,1.0,0.5952380952380952,0.7462686567164178,25,0,20
salutation,0.0,0.0,0.0,0.0,0.0,0.0,0,3,22
phone_number,0.07142857142857142,0.03225806451612903,0.044444444444444446,1.0,0.871801097460302,0.9315104031546723,1,13,30
plate,0.2777777777777778,0.22727272727272727,0.25,0.2777777777777778,0.3333333333333333,0.303030303030303,5,13,17
id,0.5555555555555556,0.2777777777777778,0.3703703703703704,0.5555555555555556,1.0,0.7142857142857143,5,4,13
country,0.7142857142857143,0.12195121951219512,0.20833333333333334,1.0,0.14655172413793102,0.2556390977443609,5,2,36
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,3,16
