label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.30434782608695654,0.28,0.2916666666666667,0.8154033097273062,0.688338331875299,0.746502375800563,7,16,18
phone_number,0.043478260869565216,0.14285714285714285,0.06666666666666667,0.19635609272120502,0.687401326176192,0.3054581170197839,1,22,6
organisation,0.037037037037037035,0.5,0.06896551724137931,0.10669975186104218,1.0,0.1928251121076233,1,26,1
plate,0.5,0.47058823529411764,0.48484848484848486,0.6170212765957447,0.5471698113207547,0.58,8,8,9
name,0.045454545454545456,0.2222222222222222,0.07547169811320754,0.07514450867052024,0.3939393939393939,0.1262135922330097,2,42,7
date,0.0,0.0,0.0,0.0,0.0,0.0,0,12,2
id,0.4117647058823529,0.4666666666666667,0.43749999999999994,0.5805592543275633,0.6175637393767706,0.5984900480439259,7,10,8
country,0.8,0.19047619047619047,0.3076923076923077,1.0,0.23809523809523808,0.3846153846153846,4,1,17
salutation,0.8,0.42105263157894735,0.5517241379310345,0.8947368421052632,0.4594594594594595,0.6071428571428572,8,2,11
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18
relationship,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
