label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.8333333333333334,0.78125,0.8064516129032259,0.9,1.0,0.9473684210526316,25,5,7
name,0.2222222222222222,0.17647058823529413,0.19672131147540983,0.6593059936908517,0.8530612244897959,0.7437722419928827,6,21,28
organisation,0.525,0.6,0.56,0.8420714081692198,1.0,0.9142657602032156,21,19,14
date,0.7446808510638298,0.7777777777777778,0.7608695652173912,0.9784515930429429,1.0,0.9891084487319123,35,12,10
relationship,0.9761904761904762,0.9111111111111111,0.9425287356321839,0.9761904761904762,0.9761904761904762,0.9761904761904762,41,1,4
salutation,0.25,0.045454545454545456,0.07692307692307693,0.25,0.05263157894736842,0.08695652173913043,1,3,21
phone_number,0.26666666666666666,0.12903225806451613,0.17391304347826086,1.0,0.8787117720026342,0.9354407473222582,4,11,27
id,0.4166666666666667,0.2777777777777778,0.33333333333333337,0.4166666666666667,0.45454545454545453,0.43478260869565216,5,7,13
plate,0.28,0.3181818181818182,0.29787234042553196,0.4,0.6666666666666666,0.5,7,18,15
country,0.4375,0.34146341463414637,0.3835616438356165,1.0,0.7096774193548387,0.8301886792452831,14,18,27
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,8,16
