label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.9230769230769231,0.75,0.8275862068965517,1.0,1.0,1.0,24,2,8
name,0.25925925925925924,0.20588235294117646,0.22950819672131148,0.7114891047254793,0.8961713995943205,0.7932224310601173,7,20,27
organisation,0.49206349206349204,0.8857142857142857,0.6326530612244897,0.5372648095206436,1.0,0.6989879768186144,31,32,4
date,0.8478260869565217,0.8666666666666667,0.8571428571428571,1.0,1.0,1.0,39,7,6
salutation,0.0,0.0,0.0,0.0,0.0,0.0,0,1,22
relationship,0.9555555555555556,0.9555555555555556,0.9555555555555556,1.0,0.978021978021978,0.9888888888888888,43,2,2
country,0.6052631578947368,0.5609756097560976,0.5822784810126583,0.8888888888888888,0.8888888888888888,0.8888888888888888,23,15,18
phone_number,0.125,0.06451612903225806,0.0851063829787234,1.0,1.0,1.0,2,14,29
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,5,16
id,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18
plate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22
