label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
name,0.03125,0.16666666666666666,0.05263157894736842,0.2879751255117867,1.0,0.44717498002511136,2,62,10
id,0.26666666666666666,0.2222222222222222,0.2424242424242424,0.4,0.6666666666666666,0.5,4,11,14
organisation,0.05,0.125,0.07142857142857144,0.3674587526315087,0.86468512059991,0.5157451540157796,1,19,7
date,0.52,0.5909090909090909,0.5531914893617023,0.9783705839942322,1.0,0.9890670553935861,26,24,18
plate,0.26666666666666666,0.34782608695652173,0.30188679245283023,0.4035087719298245,0.8518518518518519,0.5476190476190476,8,22,15
email,0.625,0.2857142857142857,0.392156862745098,0.6875,0.3548387096774194,0.4680851063829787,10,6,25
phone_number,0.25,0.023809523809523808,0.04347826086956521,1.0,0.09443099273607748,0.17256637168141592,1,3,41
relationship,0.8333333333333334,0.4166666666666667,0.5555555555555556,1.0,0.5883905013192612,0.7408637873754153,10,2,14
salutation,0.8857142857142857,1.0,0.9393939393939393,0.8857142857142857,1.0,0.9393939393939393,31,4,0
country,0.5862068965517241,0.30357142857142855,0.39999999999999997,1.0,0.5522388059701492,0.7115384615384615,17,12,39
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,6,22
