label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.76,0.7037037037037037,0.7307692307692308,0.96,0.8888888888888888,0.923076923076923,19,6,8
salutation,0.8260869565217391,0.7307692307692307,0.7755102040816326,0.9130434782608695,0.8076923076923077,0.8571428571428572,19,4,7
name,0.16129032258064516,0.14285714285714285,0.1515151515151515,0.9165339492533082,0.785421832238887,0.8459277045382833,5,26,30
organisation,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.9470524275516475,0.9470524275516475,0.9470524275516475,27,12,12
phone_number,0.34285714285714286,0.36363636363636365,0.3529411764705882,0.9376274817095739,1.0,0.9678098505108965,12,23,21
airport_code,0.2,0.05555555555555555,0.08695652173913045,0.2,0.05555555555555555,0.08695652173913045,1,4,17
country,0.5789473684210527,0.4230769230769231,0.4888888888888889,0.5789473684210527,0.4230769230769231,0.4888888888888889,11,8,15
id,0.0,0.0,0.0,0.0,0.0,0.0,0,0,14
relationship,0.9166666666666666,0.6111111111111112,0.7333333333333334,0.9166666666666666,0.6111111111111112,0.7333333333333334,11,1,7
date,0.95,0.95,0.9500000000000001,1.0,1.0,1.0,19,1,1
plate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9
