label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
name,0.0,0.0,0.0,0.22888187872414997,1.0,0.37250427837992006,0,53,22
organisation,0.175,0.4375,0.24999999999999994,0.22178468462133463,0.6385908078558413,0.32922755741127346,7,33,9
email,0.38095238095238093,0.4,0.3902439024390244,1.0,1.0,1.0,8,13,12
date,0.21428571428571427,0.5,0.3,0.8969015928431159,1.0,0.9456490481394145,9,33,9
country,0.0,0.0,0.0,0.0,0.0,0.0,0,1,34
phone_number,0.20833333333333334,0.3125,0.25,1.0,1.0,1.0,5,19,11
relationship,0.1111111111111111,0.08333333333333333,0.09523809523809525,0.4,0.27586206896551724,0.32653061224489793,1,8,11
plate,0.3157894736842105,0.375,0.34285714285714286,0.35329341317365265,0.6210526315789474,0.450381679389313,6,13,10
id,0.2916666666666667,0.3888888888888889,0.3333333333333333,0.5319148936170213,1.0,0.6944444444444444,7,17,11
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16
salutation,0.8571428571428571,0.96,0.9056603773584904,0.9259259259259259,1.0,0.9615384615384615,24,4,1
