label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
name,0.024390243902439025,0.045454545454545456,0.031746031746031744,0.18641440769806422,1.0,0.31424838823350776,1,40,21
country,0.6363636363636364,0.4117647058823529,0.5,0.7727272727272727,0.5666666666666667,0.6538461538461539,14,8,20
organisation,0.225,0.5625,0.3214285714285714,0.3230088495575221,1.0,0.4882943143812709,9,31,7
email,0.5,0.25,0.3333333333333333,0.8733850297005171,0.7752293842397187,0.8213851984475796,5,5,15
salutation,0.0,0.0,0.0,0.0,0.0,0.0,0,4,25
relationship,0.0,0.0,0.0,0.42857142857142855,0.3333333333333333,0.375,0,7,12
phone_number,0.2692307692307692,0.4375,0.33333333333333337,0.7203937733378595,1.0,0.8374754483564211,7,19,9
date,0.2571428571428571,0.5,0.33962264150943394,0.9206948640483383,0.9206948640483383,0.9206948640483383,9,26,9
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,7,16
id,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18
plate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16
