label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.8275862068965517,0.75,0.7868852459016394,0.8948374760994264,1.0,0.9445005045408679,24,5,8
name,0.14893617021276595,0.20588235294117646,0.1728395061728395,0.3931191579020904,0.9459160915986541,0.5554114240292712,7,40,27
organisation,0.5166666666666667,0.8857142857142857,0.6526315789473685,0.5642762376928986,1.0,0.7214534416569949,31,29,4
date,0.8695652173913043,0.8888888888888888,0.8791208791208792,1.0,1.0,1.0,40,6,5
relationship,0.896551724137931,0.5777777777777777,0.7027027027027027,0.9649122807017544,0.6043956043956044,0.7432432432432432,26,3,19
phone_number,0.13333333333333333,0.06451612903225806,0.08695652173913043,1.0,0.7787718325146348,0.8756286987226367,2,13,29
country,0.6764705882352942,0.5609756097560976,0.6133333333333334,0.96875,0.8857142857142857,0.9253731343283582,23,11,18
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,6,16
id,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18
plate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22
salutation,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22
