label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
name,0.012345679012345678,0.08333333333333333,0.02150537634408602,0.19922650616151089,1.0,0.33225834342037003,1,80,11
plate,0.45,0.391304347826087,0.4186046511627907,0.7,0.7777777777777778,0.7368421052631577,9,11,14
organisation,0.2,0.625,0.30303030303030304,0.3010549093859886,0.8732836406433896,0.4477521874685709,5,20,3
email,0.6071428571428571,0.4857142857142857,0.5396825396825397,0.8207853817095669,0.9196771335761393,0.8674217807074552,17,11,18
id,0.5,0.5,0.5,0.5,0.5625,0.5294117647058824,9,9,9
phone_number,0.25,0.14285714285714285,0.18181818181818182,1.0,0.6722840806500151,0.8040309519524924,6,18,36
date,0.65,0.29545454545454547,0.40625,1.0,0.46511627906976744,0.6349206349206349,13,7,31
relationship,0.6111111111111112,0.4583333333333333,0.5238095238095238,1.0,0.70478330349526,0.8268303684700178,11,7,13
salutation,0.96875,1.0,0.9841269841269841,0.96875,1.0,0.9841269841269841,31,1,0
country,0.3611111111111111,0.23214285714285715,0.28260869565217395,1.0,0.6569920844327176,0.7929936305732485,13,23,43
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22
