label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
name,0.045454545454545456,0.13636363636363635,0.06818181818181818,0.2705168891669619,1.0,0.4258375334850233,3,63,19
id,0.2857142857142857,0.2222222222222222,0.25,0.3525179856115108,1.0,0.5212765957446809,4,10,14
plate,0.3333333333333333,0.25,0.28571428571428575,0.3942307692307692,0.47674418604651164,0.43157894736842106,4,8,12
date,0.24324324324324326,0.5,0.3272727272727273,0.884070416487763,0.9581200558399255,0.919606967396159,9,28,9
email,0.38461538461538464,0.5,0.4347826086956522,0.9132871796655186,1.0,0.954678617378474,10,16,10
organisation,0.2702702702702703,0.625,0.3773584905660377,0.345904267501336,1.0,0.5140102098695406,10,27,6
country,0.7692307692307693,0.29411764705882354,0.4255319148936171,0.9230769230769231,0.41379310344827586,0.5714285714285715,10,3,24
phone_number,0.2692307692307692,0.4375,0.33333333333333337,1.0,1.0,1.0,7,19,9
relationship,0.0,0.0,0.0,0.6363636363636364,0.2,0.30434782608695654,0,4,12
salutation,0.9259259259259259,1.0,0.9615384615384615,0.9259259259259259,1.0,0.9615384615384615,25,2,0
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16
