label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.84375,0.84375,0.84375,0.90625,1.0,0.9508196721311475,27,5,5
name,0.17391304347826086,0.23529411764705882,0.19999999999999998,0.41102591221575885,1.0,0.5825915862456666,8,38,26
date,0.6862745098039216,0.7777777777777778,0.7291666666666667,0.9011997177134792,1.0,0.9480326651818857,35,16,10
relationship,1.0,0.8888888888888888,0.9411764705882353,1.0,0.9302325581395349,0.963855421686747,40,0,5
salutation,0.0,0.0,0.0,0.0,0.0,0.0,0,3,22
organisation,0.525,0.6,0.56,0.8420714081692198,1.0,0.9142657602032156,21,19,14
phone_number,0.26666666666666666,0.12903225806451613,0.17391304347826086,1.0,0.8786653185035389,0.9354144241119483,4,11,27
plate,0.0,0.0,0.0,0.24333063864187549,0.2948090107737512,0.266607617360496,0,18,22
id,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0,18,18
country,1.0,0.0975609756097561,0.17777777777777776,1.0,0.10256410256410256,0.18604651162790695,4,0,37
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,4,16
