label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.21428571428571427,0.24,0.2264150943396226,0.7728373057343645,0.7728373057343645,0.7728373057343645,6,22,19
plate,0.34782608695652173,0.47058823529411764,0.39999999999999997,0.42647058823529416,0.5471698113207547,0.4793388429752067,8,15,9
phone_number,0.09090909090909091,0.2857142857142857,0.13793103448275862,0.20989624900239423,0.6930708417299644,0.322211011818968,2,20,5
name,0.0425531914893617,0.2222222222222222,0.07142857142857142,0.11075271807135112,0.6299225051399653,0.1883838622712009,2,45,7
organisation,0.041666666666666664,0.5,0.07692307692307693,0.0807799442896936,1.0,0.14948453608247422,1,23,1
date,0.08333333333333333,0.5,0.14285714285714285,0.08333333333333333,0.5,0.14285714285714285,1,11,1
id,0.21428571428571427,0.2,0.20689655172413796,0.496,0.4626865671641791,0.47876447876447875,3,11,12
country,1.0,0.14285714285714285,0.25,1.0,0.14285714285714285,0.25,3,0,18
salutation,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.8888888888888888,0.42105263157894735,0.5714285714285714,6,3,13
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18
relationship,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
