label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.84375,0.84375,0.84375,0.90625,1.0,0.9508196721311475,27,5,5
name,0.22641509433962265,0.35294117647058826,0.27586206896551724,0.5503092109151628,0.8997410152432459,0.6829222315123141,12,41,22
date,0.8297872340425532,0.8666666666666667,0.8478260869565217,0.978544061302682,1.0,0.989155693261038,39,8,6
relationship,1.0,0.5333333333333333,0.6956521739130436,1.0,0.5581395348837209,0.7164179104477612,24,0,21
salutation,0.0,0.0,0.0,0.0,0.0,0.0,0,3,22
organisation,0.5675675675675675,0.6,0.5833333333333333,0.9142657602032157,1.0,0.955212989972885,21,16,14
phone_number,0.26666666666666666,0.12903225806451613,0.17391304347826086,1.0,0.8787117720026342,0.9354407473222582,4,11,27
id,0.3333333333333333,0.2777777777777778,0.303030303030303,0.3333333333333333,1.0,0.5,5,10,13
plate,0.14285714285714285,0.13636363636363635,0.1395348837209302,0.23139487596583977,0.29104859335038363,0.25781603987313095,3,18,19
country,0.6896551724137931,0.4878048780487805,0.5714285714285714,1.0,0.7333333333333333,0.846153846153846,20,9,21
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,7,16
