text_id,precision,recall,f1,partial_precision,partial_recall,partial_f1
0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.8
1,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.75,0.8571428571428571,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0
6,0.8,0.6666666666666666,0.7272727272727272,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0
11,0.8,0.8,0.8000000000000002,1.0,1.0,1.0
12,0.6,0.75,0.6666666666666665,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0
14,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9761904761904763,0.9761904761904762,0.9761904761904762
15,1.0,1.0,1.0,1.0,1.0,1.0
16,0.75,0.75,0.75,1.0,1.0,1.0
17,0.6,0.6,0.6,0.95,0.95,0.9500000000000001
18,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0
20,0.0,0.0,0.0,1.0,1.0,1.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.4583333333333333,0.6583333333333333,0.5404228855721392
23,0.0,0.0,0.0,0.5,0.7595959595959596,0.603047313552526
24,0.0,0.0,0.0,1.0,1.0,1.0
25,0.2,0.3333333333333333,0.25,0.8239316239316239,0.8717948717948718,0.8471877584780811
26,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0
28,0.5,0.6666666666666666,0.5714285714285715,0.9090909090909092,0.9696969696969697,0.9384164222873901
29,0.1,0.14285714285714285,0.11764705882352941,0.724981684981685,0.8288330716902145,0.7734368518542779
30,1.0,1.0,1.0,1.0,1.0,1.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,1.0,1.0,1.0,1.0,1.0,1.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666
36,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091
37,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8730158730158729
40,0.25,0.25,0.25,0.8974702380952381,0.915327380952381,0.9063108577448382
41,0.2,0.2,0.20000000000000004,0.8464285714285715,0.8892857142857142,0.8673280423280424
42,0.25,0.2,0.22222222222222224,0.8727678571428572,0.831547619047619,0.8516592658193112
43,0.0,0.0,0.0,0.9302884615384616,0.9302884615384616,0.9302884615384615
44,0.75,0.75,0.75,0.9545454545454546,0.9772727272727273,0.9657754010695188
45,1.0,1.0,1.0,1.0,1.0,1.0
46,1.0,1.0,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0,1.0,1.0
50,0.0,0.0,0.0,0.95,0.9666666666666667,0.9582608695652175
51,0.0,0.0,0.0,0.9280303030303031,0.9280303030303031,0.9280303030303031
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0
54,0.0,0.0,0.0,0.9583333333333333,0.9722222222222222,0.9652278177458034
55,0.0,0.0,0.0,0.2,0.7777777777777777,0.31818181818181823
56,0.0,0.0,0.0,1.0,0.9166666666666667,0.9565217391304348
57,1.0,0.5,0.6666666666666666,1.0,0.8888888888888888,0.9411764705882353
58,0.0,0.0,0.0,0.8888888888888888,0.7724867724867724,0.8266100495399857
59,0.3333333333333333,0.25,0.28571428571428575,0.3333333333333333,0.6388888888888888,0.4380952380952381
60,1.0,0.42857142857142855,0.6,1.0,0.47619047619047616,0.6451612903225806
61,0.75,0.75,0.75,1.0,1.0,1.0
62,1.0,1.0,1.0,1.0,1.0,1.0
63,0.5,0.5,0.5,1.0,1.0,1.0
64,0.4,0.4,0.4000000000000001,0.9333333333333332,0.9333333333333332,0.9333333333333332
65,0.5,0.5,0.5,0.5,0.5,0.5
66,0.3333333333333333,0.5,0.4,0.4444444444444444,0.6666666666666666,0.5333333333333333
67,0.5,0.5,0.5,0.5,0.5,0.5
68,0.0,0.0,0.0,0.0,0.0,0.0
69,0.25,0.25,0.25,0.375,0.4583333333333333,0.41250000000000003
70,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0
75,0.5,0.3333333333333333,0.4,0.5,0.7777777777777777,0.608695652173913
76,0.5,0.5,0.5,0.5,0.7777777777777778,0.6086956521739131
77,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7592592592592592,0.46327683615819204
78,0.25,0.25,0.25,0.25,0.7388888888888889,0.37359550561797755
79,0.2,0.16666666666666666,0.1818181818181818,0.2,0.6259259259259259,0.3031390134529148
80,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.14814814814814814
81,0.0,0.0,0.0,0.2857142857142857,0.21428571428571427,0.24489795918367344
82,0.5,0.25,0.3333333333333333,0.5,0.46875,0.4838709677419355
83,0.25,0.2,0.22222222222222224,0.375,0.575,0.4539473684210526
84,0.5,0.25,0.3333333333333333,0.5,0.375,0.42857142857142855
85,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0
