label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
name,0.02702702702702703,0.08333333333333333,0.04081632653061225,0.3921077394991873,1.0,0.5633295877519489,1,36,11
plate,0.4,0.34782608695652173,0.37209302325581395,0.5974842767295597,0.7037037037037037,0.6462585034013605,8,12,15
organisation,0.02857142857142857,0.125,0.04651162790697674,0.21750947052937808,1.0,0.35730230572219546,1,34,7
email,0.7027027027027027,0.7428571428571429,0.7222222222222223,0.8914885600514189,1.0,0.9426317228449791,26,11,9
salutation,0.8378378378378378,1.0,0.911764705882353,0.8378378378378378,1.0,0.911764705882353,31,6,0
id,0.5625,0.5,0.5294117647058824,0.5625,0.5625,0.5625,9,7,9
phone_number,0.25,0.023809523809523808,0.04347826086956521,1.0,0.09443099273607748,0.17256637168141592,1,3,41
date,0.6046511627906976,0.5909090909090909,0.5977011494252873,1.0,1.0,1.0,26,17,18
relationship,0.14285714285714285,0.08333333333333333,0.10526315789473685,1.0,0.41480050017051273,0.5863731319299375,2,12,22
country,0.5862068965517241,0.30357142857142855,0.39999999999999997,1.0,0.5522388059701492,0.7115384615384615,17,12,39
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,6,22
