label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.4444444444444444,0.16,0.23529411764705882,0.7628038615128135,0.2632564860778463,0.391425445140754,4,5,21
phone_number,0.030303030303030304,0.14285714285714285,0.05,0.14840066267363325,0.8247167138810199,0.2515390430932066,1,32,6
organisation,0.041666666666666664,0.5,0.07692307692307693,0.0807799442896936,1.0,0.14948453608247422,1,23,1
plate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,17
name,0.02702702702702703,0.1111111111111111,0.043478260869565216,0.09826589595375722,0.4657534246575343,0.162291169451074,1,36,8
id,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15
salutation,0.8181818181818182,0.47368421052631576,0.6,0.90625,0.5178571428571429,0.6590909090909092,9,2,10
country,0.5,0.38095238095238093,0.4324324324324324,0.5394736842105263,0.4059405940594059,0.4632768361581921,8,8,13
airport_code,0.0,0.0,0.0,0.25,0.019230769230769232,0.03571428571428572,0,2,18
date,0.09090909090909091,0.5,0.15384615384615385,0.09090909090909091,0.5,0.15384615384615385,1,10,1
relationship,0.0,0.0,0.0,0.0,0.0,0.0,0,3,4
