label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.84375,0.84375,0.84375,0.90625,1.0,0.9508196721311475,27,5,5
name,0.13636363636363635,0.17647058823529413,0.15384615384615383,0.40115163147792704,0.8530612244897959,0.5456919060052219,6,38,28
organisation,0.5121951219512195,0.6,0.5526315789473684,0.8217812275760084,1.0,0.9021733401759098,21,20,14
date,0.6956521739130435,0.7111111111111111,0.7032967032967032,0.9780736100234926,1.0,0.9889152810768013,32,14,13
relationship,1.0,0.4444444444444444,0.6153846153846153,1.0,0.46511627906976744,0.6349206349206349,20,0,25
salutation,0.0,0.0,0.0,0.0,0.0,0.0,0,3,22
phone_number,0.3076923076923077,0.12903225806451613,0.18181818181818182,1.0,0.8650168728908887,0.9276236429433052,4,9,27
id,0.5,0.2777777777777778,0.35714285714285715,0.5,0.45454545454545453,0.47619047619047616,5,5,13
plate,0.13043478260869565,0.13636363636363635,0.1333333333333333,0.3064220183486238,0.48631333721607456,0.37595677622692486,3,20,19
country,0.6666666666666666,0.14634146341463414,0.24,1.0,0.18777292576419213,0.3161764705882353,6,3,35
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,8,16
