label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.6551724137931034,0.7037037037037037,0.6785714285714286,0.7896872982197214,0.8492213074099791,0.8183730044928783,19,10,8
salutation,0.84,0.8076923076923077,0.8235294117647058,0.96,0.9230769230769231,0.9411764705882353,21,4,5
name,0.3448275862068966,0.2857142857142857,0.3125,0.8928694802879567,0.7143120347442737,0.7936719147902374,10,19,25
organisation,0.7096774193548387,0.5641025641025641,0.6285714285714286,1.0,0.7945619335347432,0.8855218855218856,22,9,17
phone_number,0.6470588235294118,0.3333333333333333,0.44,1.0,0.502780269058296,0.6691334447362138,11,6,22
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18
country,1.0,0.07692307692307693,0.14285714285714288,1.0,0.07692307692307693,0.14285714285714288,2,0,24
plate,0.13333333333333333,0.2222222222222222,0.16666666666666669,0.24786324786324787,0.42028985507246375,0.3118279569892473,2,13,7
id,0.5333333333333333,0.5714285714285714,0.5517241379310344,0.5973154362416108,0.6402877697841727,0.6180555555555555,8,7,6
relationship,1.0,0.7222222222222222,0.8387096774193548,1.0,0.7222222222222222,0.8387096774193548,13,0,5
date,0.8947368421052632,0.85,0.8717948717948718,1.0,0.95,0.9743589743589743,17,2,3
