label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.26666666666666666,0.32,0.2909090909090909,0.7741518576766057,0.8044317608107809,0.7890013993714896,8,22,17
plate,0.3333333333333333,0.35294117647058826,0.34285714285714286,0.3888888888888889,0.3888888888888889,0.3888888888888889,6,12,11
name,0.03773584905660377,0.2222222222222222,0.06451612903225806,0.08016608112424145,0.5112016293279023,0.1385974599668691,2,51,7
organisation,0.0,0.0,0.0,0.0,0.0,0.0,0,22,2
phone_number,0.08,0.2857142857142857,0.125,0.1842116105640476,0.6930708417299644,0.2910617798320422,2,23,5
date,0.0625,0.5,0.1111111111111111,0.0625,0.5,0.1111111111111111,1,15,1
id,0.19047619047619047,0.26666666666666666,0.2222222222222222,0.4,0.5,0.4444444444444445,4,17,11
country,1.0,0.23809523809523808,0.3846153846153846,1.0,0.23809523809523808,0.3846153846153846,5,0,16
salutation,0.8181818181818182,0.47368421052631576,0.6,0.8181818181818182,0.47368421052631576,0.6,9,2,10
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18
relationship,0.0,0.0,0.0,0.25,0.25,0.25,0,4,4
