label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.84375,0.84375,0.84375,0.90625,1.0,0.9508196721311475,27,5,5
name,0.21666666666666667,0.38235294117647056,0.2765957446808511,0.4831755758170774,1.0,0.651541980187878,13,47,21
date,0.7021276595744681,0.7333333333333333,0.7173913043478262,0.978544061302682,1.0,0.989155693261038,33,14,12
relationship,0.975,0.8666666666666667,0.9176470588235294,0.975,0.9285714285714286,0.951219512195122,39,1,6
salutation,0.2,0.045454545454545456,0.07407407407407407,0.2,0.05263157894736842,0.08333333333333333,1,4,21
organisation,0.5675675675675675,0.6,0.5833333333333333,0.9142657602032157,1.0,0.955212989972885,21,16,14
phone_number,0.25,0.0967741935483871,0.13953488372093023,1.0,0.661123313460935,0.7959954665659237,3,9,28
plate,0.25,0.18181818181818182,0.2105263157894737,0.4330708661417323,0.46218487394957986,0.4471544715447155,4,12,18
id,0.3333333333333333,0.2777777777777778,0.303030303030303,0.3333333333333333,1.0,0.5,5,10,13
country,0.5925925925925926,0.3902439024390244,0.47058823529411764,1.0,0.7079646017699115,0.8290155440414507,16,11,25
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,4,16
