label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.1724137931034483,0.2,0.1851851851851852,0.8005580908402381,0.7149977777380051,0.7553627916573229,5,24,20
phone_number,0.09090909090909091,0.2857142857142857,0.13793103448275862,0.16771752837326606,0.5473251028806585,0.25675675675675674,2,20,5
organisation,0.041666666666666664,0.5,0.07692307692307693,0.0807799442896936,1.0,0.14948453608247422,1,23,1
plate,0.36363636363636365,0.47058823529411764,0.41025641025641024,0.5436619718309859,0.6411960132890365,0.5884146341463414,8,14,9
name,0.021739130434782608,0.1111111111111111,0.03636363636363637,0.0718232044198895,0.3939393939393939,0.12149532710280374,1,45,8
id,0.25,0.3333333333333333,0.28571428571428575,0.4444444444444445,0.5569620253164557,0.4943820224719101,5,15,10
country,1.0,0.19047619047619047,0.32,1.0,0.19047619047619047,0.32,4,0,17
salutation,0.8888888888888888,0.42105263157894735,0.5714285714285714,0.8888888888888888,0.42105263157894735,0.5714285714285714,8,1,11
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18
date,0.07142857142857142,0.5,0.125,0.13669064748201437,1.0,0.240506329113924,1,13,1
relationship,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
