label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.6071428571428571,0.6296296296296297,0.6181818181818182,0.7410184013241164,0.7410184013241164,0.7410184013241164,17,11,10
salutation,0.75,0.6923076923076923,0.7199999999999999,0.9574468085106383,0.8823529411764706,0.9183673469387754,18,6,8
name,0.3333333333333333,0.3142857142857143,0.3235294117647059,0.8380221331994215,0.7212031804933209,0.7752365517409998,11,22,24
organisation,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.9487179487179487,0.9487179487179487,0.9487179487179487,24,15,15
phone_number,0.7391304347826086,0.5151515151515151,0.6071428571428571,0.9554927587424938,0.661207528721584,0.7815660213811038,17,6,16
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18
country,0.5,0.038461538461538464,0.07142857142857144,1.0,0.07692307692307693,0.14285714285714288,1,1,25
plate,0.5,0.8888888888888888,0.64,0.5,0.8888888888888888,0.64,8,8,1
id,0.7272727272727273,0.5714285714285714,0.64,0.7272727272727273,0.5714285714285714,0.64,8,3,6
relationship,0.9166666666666666,0.6111111111111112,0.7333333333333334,1.0,0.6666666666666666,0.8,11,1,7
date,0.8571428571428571,0.9,0.8780487804878048,0.9523809523809523,1.0,0.975609756097561,18,3,2
